accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.097,0.6536,10.1634,0.2093,0.4814,9.7926,0.0452,0.1148,0.347,-7.8,-27.3,-42.6,164.47,-2.91,-1.49,13501
-0.2478,0.99,8.6299,0.0195,0.5748,9.7898,0.1307,0.2969,0.1662,-7.8,-27.5,-42.4,162.95,-3.13,-0.6,13603
-0.8248,1.4234,7.7081,-0.1899,0.6548,9.7829,0.1344,0.1759,0.1491,-7.6,-27.9,-42.1,160.68,-3.83,1.11,13705
-0.7015,1.2582,9.6151,-0.2134,0.6815,9.7806,-0.0134,-0.0147,-0.0208,-7.4,-28.1,-42,162.64,-3.97,1.13,13807
-0.2717,1.0523,11.303,-0.1362,0.6975,9.7809,0.0122,-0.0819,-0.0183,-7.1,-28.3,-42.1,162.93,-3.94,0.95,13909
-0.0251,-0.1053,12.5743,0.1901,0.6103,9.7858,-0.3567,-0.3726,-0.2773,-7.4,-28.4,-42,165.6,-4.38,-0.89,14011
-0.3304,0.5016,7.9476,0.0301,0.6634,9.7841,0.055,-0.0428,-0.099,-7.4,-28.4,-41.8,164.8,-3.66,-0.19,14113
0.1245,0.7111,9.1231,0.0069,0.591,9.7888,-0.0244,0.1698,-0.0342,-7.3,-28.4,-41.5,164.7,-3.46,-0.04,14215
-0.0611,0.9122,8.6574,-0.2172,0.5384,9.7895,-0.0696,0.2297,0.0281,-6.8,-28.2,-41.6,163.32,-3.26,0.91,14317
-0.0012,1.1708,10.0832,-0.3211,0.3482,9.7952,-0.1686,-0.0293,0.1405,-6.2,-28,-41.7,164.45,-2.03,1.88,14420
0.0658,0.9026,10.6255,-0.1461,0.4602,9.7948,0.0757,-0.2126,0.0244,-6.1,-27.8,-42,165.14,-2.64,1.24,14521
0.2263,0.4992,9.1734,0.1315,0.5134,9.7923,0.1576,-0.2101,-0.0953,-6.3,-27.7,-42,166.43,-3.11,0.27,14623
-0.6907,0.2945,7.343,0.2789,0.57,9.7861,0.4044,-0.0513,0.0391,-7.1,-27.8,-41.9,167.28,-2.69,-1.54,14725
-0.012,0.4764,9.0908,0.4126,0.4598,9.7872,-0.0379,0.0257,-0.0134,-7.8,-27.9,-41.5,166.47,-2.69,-2.41,14828
-0.4549,0.9972,8.2803,0.3127,0.4777,9.79,0.0171,0.0171,0.0073,-8.2,-27.8,-41.4,165.83,-2.67,-1.98,14930
-0.4286,1.0678,9.4188,0.194,0.4562,9.7941,-0.0892,0.193,0.0024,-8.2,-27.8,-41.5,165.23,-2.67,-1.58,15031
0.0778,0.4417,11.3677,0.3197,0.5805,9.7842,0.2724,-0.0476,-0.0367,-8.1,-27.8,-41.7,165.25,-3.14,-1.7,15133
-0.7733,-0.9278,13.5165,0.4623,0.6528,9.774,-0.5021,0.3861,-0.3103,-8.2,-28,-41.9,166.55,-3.82,-2.71,15235
-0.0024,0.2969,8.9866,0.1731,0.4784,9.7934,0.1539,0.1613,0.0037,-8,-28,-41.8,164.96,-2.9,-1.44,15338
0.2729,0.5351,9.5229,0.0906,0.3215,9.801,0.077,0.0525,0.0403,-7.6,-27.8,-41.8,164.07,-1.8,-0.53,15439
0.3807,1.1791,8.5246,-0.0289,0.3418,9.8006,0.0513,-0.0049,0.0208,-6.8,-27.4,-41.8,164.4,-2,0.17,15541
-0.0311,0.8595,9.9539,0.0108,0.2746,9.8028,-0.1772,-0.0586,-0.022,-6.4,-27.3,-41.6,166.45,-2.01,0.2,15643
0.1951,0.5686,10.8386,0.1336,0.3888,9.798,0.2199,-0.1368,0.1087,-6.4,-27.2,-41.6,167.67,-1.9,-0.55,15746
-0.2418,-0.6201,12.451,0.3079,0.4232,9.7927,-0.0269,-0.2016,-0.0464,-6.8,-27.4,-41.4,166.78,-2.58,-1.53,15848
-0.1604,-0.0407,10.6674,0.4476,0.3449,9.7904,-0.2688,-0.0745,0.0037,-7.5,-27.6,-41.4,169.08,-2.02,-2.62,15950
-0.3807,0.4357,9.2213,0.4135,0.2138,9.7956,-0.0244,0.0073,0.0904,-7.9,-27.4,-41.3,166.5,-1.25,-2.42,16052
