accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.48,0.3759,9.0692,-0.0333,1.0786,9.7471,-0.0623,-0.099,2.1356,5.7,12.8,-45.4,343.93,-6.54,1.02,8920
0.753,0.3795,10.5548,0.1822,0.6716,9.7819,-0.4349,0.1955,2.1002,7.6,10.9,-45.4,327.82,-3.93,-1.07,9021
0.1915,0.7242,9.1806,-0.0951,0.3535,9.7998,-0.2871,-0.0367,1.8998,11.3,6.7,-44.9,309.22,-2.07,0.56,9123
-0.1365,-0.7685,9.7396,-0.0052,-0.133,9.8057,-0.6353,-0.1381,1.7691,12.6,4.9,-44.4,291.46,-0.05,0.23,9225
0.8308,-0.255,10.1718,-0.1581,-0.2616,9.8019,-0.1234,0.5082,1.3195,14.2,2.7,-43.9,277.8,1.53,0.92,9327
-1.4329,-0.0096,8.7424,-0.7216,-0.1835,9.7783,0.6402,0.0929,0.0745,15.7,0.3,-42.9,266.31,1.07,4.22,9429
-0.9529,0.4142,11.5197,-0.5482,0.1239,9.7905,-0.0965,-0.3946,0.3653,16.7,-1.9,-42.5,264.31,-0.72,3.2,9531
0.4178,0.4884,8.5557,-0.4094,0.6035,9.7795,0.2468,-0.2981,0.0538,17.2,-3.6,-42.1,262.91,-2.86,2.72,9634
1.0355,0.6668,8.4539,-0.0785,0.6689,9.7835,0.259,0.2334,0.3775,16.6,-5.5,-42.7,263,-3.91,0.46,9735
0.3843,-0.1425,11.746,0.4844,0.5174,9.781,-0.463,-1.1655,-0.0941,15.8,-6.4,-43.2,258.21,-3.23,-1.64,9837
-0.3472,0.4908,8.8155,0.059,0.7029,9.7812,0.033,0.5461,-0.3604,14.4,-6.9,-44,255.74,-4.07,-1.72,9940
-1.1636,0.1365,9.7683,-0.4275,0.4543,9.7868,-0.3262,0.2847,-0.3054,14.7,-6.6,-43.8,249.34,-2.66,2.5,10041
-0.182,-0.0335,10.1131,-0.1513,0.089,9.8051,0.325,0.4203,-0.0953,15.3,-5.7,-43.5,248.75,-0.78,1.45,10144
-0.0431,0.103,9.6091,-0.1925,0.4823,9.7929,0.38,-0.0489,-0.0183,16,-5,-42.9,257.91,-2.28,0.95,10245
-1.2366,0.1293,9.2608,-0.2494,0.5195,9.7897,0.0599,-0.1869,0.0073,16.2,-4.4,-42.7,263.51,-3.04,1.46,10348
0.2286,1.0295,10.2747,-0.0456,0.5742,9.7897,0.0452,0.1002,-0.1466,15.8,-4.8,-42.9,261.12,-3.36,0.27,10450
0.152,0.6656,9.6163,0.0895,0.7792,9.7752,0.2786,-0.2676,-0.1014,15.7,-4.9,-43,263.31,-4.14,-0.1,10551
-0.4812,0.1724,10.1083,0.0542,0.7941,9.7743,-0.0122,0.0525,-0.0244,15.2,-5.3,-43.1,264.35,-4.64,-0.32,10653
0.0575,1.0499,8.503,0.1249,0.9658,9.7582,-0.0037,-0.1026,-0.0147,15.1,-5.6,-43.2,263.23,-5.55,-0.53,10756
-0.0766,0.8691,9.8665,0.0312,0.8283,9.7716,-0.1503,0.1258,-0.0684,14.9,-6.1,-43.5,262.09,-5.15,-0.43,10857
-0.1688,0.9637,9.256,-0.081,0.7617,9.7767,-0.0709,0.1918,-0.0367,15,-6.1,-43.6,260.1,-4.45,0.47,10960
-0.2921,0.7997,9.6235,0.0041,0.7777,9.7758,-0.0501,0.0782,0.0257,15.1,-5.8,-43.2,260.28,-4.55,-0.02,11061
-0.1652,0.7614,9.9503,0.0483,0.7454,9.7782,0.0147,-0.0501,0.0452,15.1,-5.6,-43.1,259.86,-4.36,-0.28,11163
-0.1269,0.7446,9.7037,0.0695,0.7464,9.778,-0.0037,-0.0354,0.0171,15,-5.6,-43.3,259.93,-4.37,-0.41,11266
0.0994,1.0618,9.3506,0.0972,0.7844,9.7747,0.0232,-0.1063,0.0098,14.8,-5.6,-43.6,260.9,-4.59,-0.57,11367
-0.1149,1.0786,9.6103,0.1536,0.7996,9.7728,0.0684,-0.0684,0.0342,14.5,-5.7,-43.8,261.26,-4.68,-0.9,11470
0.091,1.3647,9.7217,0.1637,0.8405,9.7692,-0.0073,0.0183,0.0831,14.5,-5.8,-43.9,261.78,-4.86,-0.98,11571
0.2227,1.4521,9.8043,0.1626,0.8689,9.7667,-0.1307,0.0281,0.0733,14.4,-6,-44,261.89,-5.08,-0.95,11675
0.231,1.33,9.73,0.1379,0.8616,9.7678,-0.011,-0.0024,0.1234,14.4,-6.3,-43.8,261.59,-5,-0.8,11775
0.4154,1.1923,9.7671,0.1691,0.9472,9.7593,0.1063,0.0061,0.1869,14.3,-6.4,-43.7,262.28,-5.22,-0.9,11878
0.237,0.7889,10.471,0.2689,0.9611,9.7557,-0.022,-0.1136,0.0342,14.3,-6.8,-43.9,260.28,-5.77,-1.38,11980
0.2346,0.8499,9.6379,0.3598,1.0144,9.7474,0.077,-0.0929,0.099,14,-7.4,-43.7,261.02,-5.94,-2.11,12082
-0.0527,0.5638,10.1742,0.4215,0.9622,9.7502,-0.0672,0.0269,0.1051,13.6,-7.8,-43.8,256.86,-5.63,-2.48,12184
0.0239,0.8128,9.9491,0.3699,0.9143,9.7569,0.0159,0.055,0.1319,13.4,-7.9,-43.9,255.06,-5.35,-2.17,12291
0.0491,0.7973,10.0545,0.3213,0.9223,9.7579,-0.0806,0.1258,0.1014,13.4,-8.2,-44.1,255,-5.4,-1.89,12388
-0.0383,1.1001,9.3194,0.2473,1.0007,9.7523,0.1442,-0.0941,0.1466,13.5,-8.3,-43.6,256.35,-5.66,-1.38,12489
0.0898,1.4653,9.8641,0.334,1.0431,9.7453,-0.0489,-0.0819,-0.0525,13.6,-8.9,-43.3,254.02,-6.11,-1.96,12591
0.0132,2.0027,9.0357,0.2779,0.8997,9.7613,-0.1466,0.0428,-0.0916,13.6,-8.8,-43,252.17,-5.43,-1.78,12693
-0.0563,1.8854,9.183,0.2701,0.8086,9.7695,-0.0648,-0.0012,-0.1197,13.6,-8.4,-43.5,253.61,-4.71,-1.61,12795
-0.3124,1.8938,8.9052,0.2769,0.8429,9.7664,0.0073,-0.055,-0.0757,13.7,-7.5,-43.8,258.04,-4.93,-1.62,12898
-0.0215,1.6819,9.1566,0.3288,0.9506,9.7549,0.0806,-0.0696,0.0342,13.7,-7,-44.1,259.1,-5.29,-1.79,13000
0.5818,0.3615,9.0585,0.392,1.0613,9.7412,0.0195,-0.1173,-0.0733,13.5,-6.9,-44.2,261.83,-6.21,-2.3,13102
0.6321,0.7362,8.5425,0.3384,1.0064,9.749,0.3836,0.0403,0.1295,13.4,-7,-44.3,260.24,-5.89,-1.99,13203
1.5299,0.7877,9.663,0.4329,1.0293,9.7429,-0.1173,-0.1784,0.0379,13.3,-7.2,-44.1,261.23,-6.21,-2.09,13305
0.7506,1.1732,9.1207,0.4175,0.8929,9.757,-0.0452,0.0354,-0.0819,13.2,-7.2,-44,258.77,-5.3,-2.51,13407
0.5698,1.4892,9.4379,0.4467,0.7918,9.7644,-0.1503,-0.044,-0.2016,13.1,-6.9,-43.7,256.95,-4.63,-2.62,13510
0.1772,1.5622,9.6678,0.4168,0.7612,9.7682,-0.0452,0.0538,-0.1772,13.1,-6.2,-43.7,259.95,-4.39,-2.64,13612
-0.7039,0.2969,11.4958,0.4161,0.8306,9.7626,0.1124,-0.0305,-0.0232,13.1,-5.4,-43.6,264.98,-4.86,-2.44,13713
0.9912,1.1097,7.355,0.4107,1.1304,9.7326,-0.2798,-0.496,-0.0049,13.2,-5.3,-43.6,268.63,-6.1,-2.23,13816
0.0215,1.3994,7.282,0.5886,1.1381,9.7226,0.3176,0.1564,0.1723,13.1,-5.8,-43.4,264.21,-6,-3.12,13918
-0.1137,1.2306,8.9064,0.6694,1.0721,9.7249,-0.1038,-0.055,0.0489,12.8,-6.2,-43.3,265.4,-6.41,-3.72,14020
-0.3005,1.5395,9.6031,0.6319,1.0179,9.7332,-0.0721,0.2126,-0.0855,12.2,-6.5,-43.8,264.26,-5.96,-3.71,14121
0.0156,1.7071,9.6486,0.5047,1.114,9.7301,-0.0134,0.1869,-0.2053,12.1,-6.4,-44.2,265.83,-6.52,-2.97,14223
-0.0455,0.9673,10.1335,0.3568,1.1988,9.7266,0.1613,0.0648,-0.1955,12.4,-6.1,-44.1,267.33,-7.02,-2.1,14325
0.7434,-0.2227,9.8893,0.3565,1.162,9.731,-0.3665,-0.0452,-0.3738,12.7,-5.9,-43.8,268.32,-7.29,-2.05,14427
0.3292,0.6632,8.3414,0.192,1.0673,9.7465,-0.2053,-0.0403,-0.1857,13,-5.1,-43.3,268.68,-6.25,-1.13,14530
0.2502,1.0056,8.7005,0.1231,0.9182,9.7628,-0.0538,0.0916,-0.0819,13.1,-4.4,-43.1,269.82,-5.28,-0.84,14632
-0.103,1.1672,8.9388,0.1673,0.8407,9.7691,-0.077,-0.1381,-0.0354,13.6,-3.5,-42.9,273.02,-5.03,-0.71,14733
0.2286,1.1468,10.2436,0.2077,0.7667,9.7744,0.0648,-0.0037,0.171,13.7,-3.1,-42.9,271.54,-4.55,-1.2,14836
-0.0455,0.8164,11.8597,0.2709,0.8882,9.7626,0.1588,-0.1161,0.2492,13.4,-3,-42.8,273.52,-5.2,-1.59,14937
-0.3579,0.243,8.7759,0.3962,1.0853,9.7383,0.1478,0.0257,0.2175,13.1,-3.5,-42.8,276.9,-6.41,-2.09,15040
0.2286,0.8906,7.5621,0.6165,1.0088,9.7351,0.1283,-0.182,0.2028,12.4,-4.3,-42.8,270.38,-5.54,-3.29,15142
-0.0012,1.1025,9.2799,0.5378,0.8005,9.7591,-0.3262,0.2407,0.0269,12,-4.9,-43,263.9,-4.68,-3.15,15244
0.0192,1.5838,8.5281,0.4902,0.8561,9.7569,0.0843,0.259,0.0183,11.6,-4.8,-43.3,264.81,-5.01,-2.88,15346
-0.012,1.0786,8.7305,0.3952,1.0141,9.7461,0.1466,0.088,-0.1271,11.8,-5.1,-43.3,267.58,-5.94,-2.32,15448
-0.0072,0.51,11.7986,0.47,1.0679,9.737,0.3433,-0.0232,-0.0977,12.1,-5.3,-43.1,267.73,-5.98,-2.52,15550
0.6009,-0.2227,11.2025,0.5187,1.1268,9.7279,-0.2468,-0.0134,-0.303,12.2,-5.9,-42.9,265.59,-6.6,-3.05,15652
0.17,0.1281,9.104,0.4133,0.8206,9.7635,-0.2712,-0.0049,-0.2236,12.3,-5.7,-43,260.03,-4.8,-2.42,15753
0.3256,1.0523,8.2959,0.3581,0.5557,9.7843,-0.1515,0.0721,-0.0953,12.4,-4.7,-42.8,260.08,-3.51,-2.23,15855
0.6237,1.2893,9.4523,0.3741,0.489,9.7873,-0.0489,-0.0623,-0.0684,12.7,-3.5,-42.7,266.56,-2.86,-2.19,15960
0.2634,0.9421,9.991,0.4311,0.6009,9.7787,0.2053,-0.077,0.0586,12.8,-3,-42.6,267.44,-3.16,-2.39,16059
0.2705,0.3998,10.6111,0.5966,0.9724,9.7401,0.4337,-0.1295,0.1686,12.9,-3.2,-42.8,272.55,-5,-3.25,16161
0.5842,0.17,8.8454,0.7721,0.9077,9.734,0.5009,0.0037,0.1258,12.6,-4.2,-43.3,269.61,-5.31,-4.54,16263
0.1724,0.4657,9.013,0.7458,1.0373,9.7231,-0.1332,0.0379,-0.0049,12.3,-5.1,-43.3,268.75,-6.35,-4.45,16365
0.2191,0.9708,8.1008,0.7426,1.0448,9.7225,-0.0208,0.0037,-0.0269,12.3,-5.5,-43.3,268,-6.07,-4.31,16467
0.5734,1.8208,8.5114,0.7655,1.1185,9.7125,0.0232,-0.1026,-0.0696,12.4,-5.6,-43.3,265.61,-6.55,-4.51,16570
0.2406,0.929,11.2204,0.7358,1.208,9.7041,0.0819,0.1038,-0.171,12.6,-5.6,-43.4,266.72,-6.89,-4.29,16671
0.9086,0.8823,10.252,0.6829,1.3029,9.6957,-0.0134,0.0342,-0.2468,12.8,-5.8,-43.6,269.19,-7.65,-4.14,16773
0.3519,0.1999,10.5381,0.4602,1.0276,9.7418,0.0904,0.0843,-0.0367,13.2,-5.4,-43.5,268.36,-6.16,-2.99,16876
0.1305,0.3675,9.8282,0.5166,0.9423,9.7476,-0.2566,-0.1723,-0.055,13.9,-4.6,-43.2,266.75,-5.51,-3.03,16977
0.091,0.8906,8.77,0.4929,0.8403,9.7581,-0.0208,0.099,0.0892,14.1,-3.7,-43.3,268.62,-4.89,-3,17079
0.3256,1.1085,9.5541,0.5704,0.8642,9.7518,-0.0098,-0.0611,0.2211,14.3,-3.2,-43.3,272.51,-5.06,-3.35,17181
0.4717,0.5447,10.9056,0.6492,0.894,9.7442,0.0562,-0.0525,0.259,14.1,-3.1,-43.7,273.15,-5.23,-3.81,17283
1.1384,0.8368,9.7659,0.6233,0.9989,9.7357,0.1283,0.1014,0.3433,13.9,-4,-43.8,271.37,-5.85,-3.66,17386
0.6009,0.6177,9.6019,0.7862,0.8906,9.7344,0.0501,-0.1564,0.1234,13.7,-4.4,-44,269.66,-5.21,-4.62,17488
-0.31,0.5004,8.5006,0.6979,0.8363,9.746,-0.0794,-0.1038,-0.0281,13.5,-4.7,-44.1,265.57,-4.89,-4.1,17589
0.0503,1.2737,7.8494,0.6669,0.9294,9.7397,0.2077,0.1295,0.0513,13.5,-4.6,-44,266.2,-5.14,-4.04,17692
0.2837,1.415,9.0237,0.5967,1.0085,9.7364,0.1222,0.1576,-0.0794,13.5,-4.5,-44.1,270.92,-5.68,-3.77,17793
0.2777,0.6117,10.647,0.6697,1.1158,9.7199,0.43,0.0134,-0.1429,13.6,-4.6,-44.1,269.72,-6.53,-3.94,17896
0.4058,-0.3795,12.6055,0.6876,1.0738,9.7234,-0.4838,-0.099,-0.3274,13.5,-4.7,-44.4,269.09,-6.29,-4.05,17998
0.3531,0.2239,8.6718,0.6812,0.8229,9.7483,-0.2334,-0.1637,0.0037,13.5,-4.3,-44.4,270,-5.31,-3.73,18100
0.3376,0.9014,8.5545,0.662,0.7023,9.759,-0.0672,0.0086,-0.0696,13.3,-3.4,-44.5,270.8,-4.29,-3.94,18202
